SN,Lastname,Firstname,Gender,Height,Weight,Passport ID,Country,Job Title,Income Annual,Hobby,Car Brand
57,Hopper,Dennis,M,1.66,67.5,X1479963,France,Flying-Shear Operator,89370,Sleeping,Ford
58,Peck,Joyce,F,1.64,42.3,P7353056,Saudi Arabia,"Order Dispatcher, Chief",18679,Going to Movies,-
59,Walter,Brian,M,1.94,51.8,W9157178,Russia,Clinical Sociologist,20937,Gardening,-
60,Padilla,Daniel,M,1.71,56,664816802,Netherlands,Officer,11118,Team Sports,-
61,Head,Stephen,M,1.94,64.6,S1020731,Luxembourg,Classifier Operator,13517,Going to Movies,-
62,Callahan,Keith,M,1.78,61.9,265806099,Mexico,Compressed-Gas-Plant Worker,72527,Skiing,-
63,Ashley,Douglas,M,1.8,50.4,K2523101,Australia,"Machine Repairer, Maintenance",112979,Painting,Alfa Romeo
64,Duffy,Joyce,F,1.5,47.9,J4954769,Russia,Veneer Redrier,10670,Watching TV,-
65,Jacobson,Debra,F,1.44,47.8,Y5365009,Australia,Table Worker,151808,Camping,Geely
66,Obrien,Andrea,F,1.54,45.7,D5864732,Netherlands,Panel Maker,33262,Watching TV,Toyota
67,Gardner,Gabriel,M,1.78,51,755990737,Poland,Rotary-Cutter Operator,48355,Listening to Music,McLaren
68,Berry,Dorothy,F,1.43,49.6,W2617688,Canada,Electrical-Appliance Preparer,96931,Animal Care,-
69,Dorsey,Adam,M,1.94,61.8,B1870674,Spain,Tank Calibrator,26577,Family Time,-
70,Gutierrez,Natalie,F,1.48,43.5,462688489,Brazil,Taxi Driver,30017,Playing Cards,Dodge
71,Parks,Douglas,M,1.86,74.2,Q9391988,Germany,Matting-Press Tender,90638,Swimming,Buick
72,Merritt,Carl,M,1.83,48.4,O6946076,Argentina,"Painter, Panel Edge",29050,Golf,Mazda
73,Pittman,Christina,F,1.47,44.2,G6419389,Poland,Venetian-Blind Assembler,12171,Going to Movies,-
74,Lucas,Brian,M,1.74,78.3,375313336,Poland,Cable Installer-Repairer,49860,Gardening,-
75,Fitzpatrick,Sean,M,1.91,48.4,P5616651,Malta,"Farmworker, Grain Ii",47787,Theater,General Motors
76,Mccall,Eugene,M,1.94,89.1,V0468183,Slovakia,"Painter, Electrostatic",12576,Team Sports,-
77,Graham,Charles,M,1.92,70,634405825,Italy,Polisher,8011,Painting,-
78,Warren,George,M,1.91,58,V1618946,Finland,Manufacturer'S Representative,40572,Eating Out,Renault
79,Robinson,Tyler,M,1.92,65.1,134754572,Italy,"Sales Representative, Door-To-Door",37152,Watching Sports,-
80,Wells,Steven,M,1.83,67.7,Z6524832,Finland,Cargo Agent,59098,Cooking,General Motors
81,Phelps,Philip,M,1.94,65.5,635703014,Portugal,"Inspector, Aluminum Boat",17793,Walking,-
82,Fernandez,Jason,M,1.81,48.4,L8319584,Mexico,Bottom Filler,22123,Relaxing,Rolls Royce
83,Rosales,Mark,M,1.94,89.6,399083638,Germany,Mica-Plate Layer,31029,Boating,Chevrolet
84,Sanchez,John,M,1.79,55.1,389281771,Slovakia,Chief People Officer,22635,Bicycling,-
85,Morin,Shirley,F,1.79,53.2,C1476345,Romania,Keno Writer,36790,Housework,Toyota
86,Maynard,Donald,M,1.83,48.4,836357969,Netherlands,Ribbon Winder,29653,Dancing,-
87,Dodson,Ethan,M,1.84,48.4,N7600341,Italy,Handle Maker,56614,Playing Music,Volkswagen
88,West,James,M,1.89,59.9,P9604276,United States of America,Nozzle-And-Sleeve Worker,46057,Skiing,Fiat
89,Skinner,Patricia,F,1.7,44.3,K9551542,Netherlands,Personal Shopper,6524,Hiking,-
90,Emerson,Heather,F,1.6,42.3,S0180428,Cyprus,"Investigator, Internal Affairs",17237,Exercise,-
91,Sullivan,Patricia,F,1.71,42.7,N3418935,Russia,Credit Authorizer,17976,Painting,-
92,Welch,Jeremy,M,1.61,68.2,I5398685,Russia,Bolter Helper,18595,Hiking,-
93,Hampton,Michael,M,1.94,48.4,F6541898,Japan,Grant Writer,35518,Family Time,Lexus
94,Gordon,Madison,F,1.7,45.4,O4459731,Belgium,Crutcher Helper,130098,Family Time,-
95,Edwards,Daniel,M,1.73,51.9,I9345981,Luxembourg,Color Tester,70799,Watching TV,Bugatti
96,Riley,Denise,F,1.54,42.3,W8823070,Brazil,Knitting-Machine Operator Helper,164688,Fishing,TATA Motors
97,Leon,Kimberly,F,1.46,44,A4050555,Latvia,Parlor Chaperone,7404,Traveling,-
98,Langley,Jesse,M,1.94,60.1,E4214988,Estonia,Window Repairer,65059,Sewing,McLaren
99,Moore,Diane,F,1.67,42.3,636286501,Senegal,Engraver Ii,131611,Running,Rolls Royce
100,Potts,Kathleen,F,1.78,43.4,F3352141,Italy,Piano Case And Bench Assembler,59852,Going to Movies,Chevrolet
101,Boone,Stephanie,F,1.39,56.1,H0918268,Luxembourg,Founder,21979,Traveling,Jaguar
102,Robles,Joan,F,1.66,45.7,S1507904,Belgium,"Sales Representative, Textile Machinery",41794,Entertaining,Chrysler
103,Wood,Adam,M,1.62,59,271557906,Germany,Mounter Ii,45492,Housework,-
104,Simmons,Janet,F,1.56,46.2,237108108,Malta,Button-Sewing-Machine Operator,46739,Cooking,Volkswagen
105,Barber,Gregory,M,1.8,55.4,T7882921,Italy,Screen Printer,11831,Reading,-
106,Elliott,Natalie,F,1.57,45,870172254,Saudi Arabia,Pharmaceutical Detailer,44344,Going to Movies,Saab
107,Gilbert,Dennis,M,1.94,60.8,F4477591,Malta,Silica-Filter Operator,35999,Family Time,Bentley
108,Glenn,Martha,F,1.68,51.1,T3853905,Croatia,Skip Tracer,108837,Watching TV,-
109,Nash,James,M,1.52,81.4,311597979,Brazil,Saw Setter,43179,Family Time,Fiat
110,Bonner,Natalie,F,1.4,42.3,S1262514,Croatia,"Supervisor, Scrap Preparation",12594,Entertaining,-
111,Weber,Shirley,F,1.43,44,848682952,Czechia,"Nurse, Staff, Community Health",49055,Working on Cars,Honda
112,Adams,Gloria,F,1.41,45.3,203359455,Germany,Dog Groomer,53611,Boating,Chrysler
113,Barrera,Christian,M,1.94,59.6,U7884283,Argentina,"Engraver, Pantograph Ii",22563,Camping,Renault
114,Lindsey,Jessica,F,1.67,54.8,162521086,Japan,Frame Straightener,34207,Theater,Buick
115,Schwartz,Jerry,M,1.78,48.4,730282750,Ireland,Fitter Helper,23783,Dancing,Pagani
116,Dodson,Ruth,F,1.8,49.7,799836700,Canada,Battery Inspector,62831,Running,Acura
117,Langley,Betty,F,1.74,42.3,J8902713,Vietnam,Collet Driller,11105,Hiking,-
118,Pugh,Eric,M,1.94,48.4,L7533978,United States of America,Tank Builder And Erector,25920,Eating Out,Infiniti
119,Quinn,Steven,M,1.94,58.2,B4285221,South Korea,"Supervisor, Aircraft Maintenance",36596,Hiking,Ford
120,Wolfe,Megan,F,1.52,42.3,P7476935,Russia,Mop-Handle Assembler,91306,Socializing,Infiniti
121,Richardson,Daniel,M,1.78,52.9,788111384,Spain,Tool-Crib Attendant,65048,Entertaining,Porsche
122,Mckinney,Alexander,M,1.62,57.2,H0484014,Slovenia,"Etcher, Machine",18769,Listening to Music,-
123,Rosa,Maria,F,1.52,52.3,K0890287,Russia,"Finisher, Machine",65458,Walking,-
124,Gonzales,Janet,F,1.58,42.3,O9441390,Saudi Arabia,"Welder Apprentice, Gas",82295,Animal Care,-
125,Martinez,Sean,M,1.87,64.6,Q5992954,Portugal,Nuclear Medicine Technologist,58368,Sleeping,Rolls Royce
126,Buchanan,Joyce,F,1.39,42.3,O3072052,Mexico,Thread-Pulling-Machine Attendant,29309,Bowling,Ford
127,Abbott,Emma,F,1.66,47.2,U6226737,Cyprus,Tire Mounter,7196,Animal Care,-
128,Gilliam,Rebecca,F,1.73,51.9,B6419996,Ireland,Sheep Herder,7545,Family Time,-
129,Stevenson,Henry,M,1.87,71.2,762745157,Lithuania,Overhauler,26136,Cooking,-
130,Dunlap,Victoria,F,1.56,51.5,400916692,Czechia,Snailer,98717,Beach,Chevrolet
131,Valenzuela,Abigail,F,1.58,45.9,P7124169,Slovakia,Screen Cleaner,69328,Listening to Music,Koenigsegg
132,Greene,Diane,F,1.58,42.3,156677931,Hungary,Store Manager,42746,Animal Care,-
133,Hernandez,Randy,M,1.94,63.5,244051677,South Africa,Fertilizer Mixer,11934,Tennis,-
134,Cannon,Christina,F,1.77,43.8,W3557456,Netherlands,Retort Unloader,59685,Beach,Pagani
135,Hunter,Judith,F,1.77,42.3,595949129,United Kingdom,Mold Preparer,37802,Skiing,-
136,Santana,Victoria,F,1.8,55.6,234017659,Russia,"Director, Casting",163194,Golf,Kia
137,Rhodes,Adam,M,1.68,54.4,B2417154,France,Shuttle Fixer,9286,Animal Care,-
138,Sherman,Brittany,F,1.76,45.1,X7812349,Germany,Truer,29253,Running,Infiniti
139,Irwin,Kathleen,F,1.57,43.1,L5681323,Germany,Slipcover Cutter,23517,Entertaining,Audi
140,Barr,Angela,F,1.51,45.7,L3240143,Belgium,"Assembler And Wirer, Industrial Equipment",22594,Going to Movies,-
141,Jenkins,Roger,M,1.94,77.7,672010555,Germany,Spice Fumigator,115269,Tennis,Lamborghini
142,Gonzales,Gregory,M,1.85,49.1,G1203392,Greece,Tie-Up Worker,51706,Sleeping,Dodge
143,Strong,Katherine,F,1.82,43.2,444590203,Canada,Counterintelligence Agent,50106,Playing Cards,Jeep
144,Pugh,Donna,F,1.78,47.4,584077517,Turkey,Automatic-Door Mechanic,11529,Skiing,-
145,Gillespie,Roy,M,1.85,67.5,101200905,Netherlands,Belt-Builder Helper,37083,Animal Care,TATA Motors
146,Riddle,Kelly,F,1.63,42.3,399285222,Estonia,Glass-Rolling-Machine Operator,21574,Boating,GMC
147,Hinton,Sharon,F,1.8,44.9,V2200541,Slovenia,Wire-Frame-Lamp-Shade Maker,42235,Computer Games,Ram
148,Knapp,Emily,F,1.39,44.2,U9629974,Saudi Arabia,Die-Maker Apprentice,33709,Exercise,-
149,Rhodes,Danielle,F,1.4,55.2,S4402086,Germany,"Sealer, Semiconductor Packages",24021,Dancing,Suzuki
150,Dudley,Stephen,M,1.52,48.4,492145868,Netherlands,Lay-Out Worker Ii,64935,Playing Music,TATA Motors
151,Berry,Gloria,F,1.53,42.3,U2839014,Japan,Bullet-Assembly-Press Setter-Operator,22790,Gardening,Hyundai
152,Shepard,Catherine,F,1.6,56.2,K1819630,Italy,Tire-Regrooving-Machine Operator,52613,Walking,Honda
153,Rodriguez,William,M,1.8,48.4,249285855,China,Field-Service Engineer,145225,Tennis,Nissan
154,Burgess,Jesse,M,1.94,71.2,656742559,Turkey,Garnett-Machine Operator,134161,Walking,Mercedes-Benz
155,Grant,Sara,F,1.45,42.3,104062250,Germany,Bottling-Line Attendant,12381,Golf,-
156,Lamb,Virginia,F,1.55,45.8,D2496608,France,"Launderer, Hand",53287,Traveling,Chrysler
157,Stanton,Amanda,F,1.78,45.8,141570835,Luxembourg,"Baker, Pizza",17170,Reading,-
158,Dillon,Kathryn,F,1.8,46.4,K0577781,Lithuania,Paper-Reel Operator,51914,Motorcycling,Tesla
159,Cunningham,Randy,M,1.83,73.6,578874795,Argentina,Plastic-Top Assembler,31790,Computer Games,McLaren
160,Yang,Anthony,M,1.83,77.3,247169272,France,"Supervisor, Hide House",13900,Painting,-
161,Mckee,Cynthia,F,1.68,42.3,Q0603043,Egypt,"Sander, Portable Machine",85971,Swimming,-
162,Collins,Tyler,M,1.68,75.9,627732468,Chile,"Mold Maker, Terra Cotta",34434,Watching Sports,-
163,Curry,Judith,F,1.8,42.3,E3207744,Netherlands,"Supervisor, Tufting",25439,Sleeping,-
164,Lyons,Jeremy,M,1.86,55.8,418697625,United Kingdom,Delineator,122866,Boating,-
165,Suarez,Rachel,F,1.64,53.1,W5186523,Germany,Fish And Game Warden,43295,Working on Cars,Dodge
166,Pena,Tyler,M,1.89,73.6,692667319,Finland,Card Tender,82347,Housework,Ford
167,Collins,Sandra,F,1.42,53.8,D7113379,India,Battery Loader,21892,Traveling,Jaguar
168,Kidd,Bruce,M,1.94,63.3,J6888654,Estonia,Nail-Assembly-Machine Operator,18926,Working on Cars,-
169,Holt,Emily,F,1.75,50.1,H3564200,Finland,Transfer-Machine Operator,30114,Skiing,Alfa Romeo
170,Pate,Joyce,F,1.61,42.3,O7821448,South Korea,Buckshot-Swage Operator,46357,Working on Cars,Mercedes-Benz
171,Wilder,Brandon,M,1.94,63.9,Q9839541,Germany,Press Operator Ii,31435,Watching Sports,Porsche
172,Gay,Carolyn,F,1.58,42.3,G2375371,Argentina,Finisher-Card Tender,77440,Bicycling,-
173,Watkins,Sharon,F,1.45,48.9,146516913,France,Dredge Operator,14219,Beach,-
174,Rhodes,Sophia,F,1.39,51.9,D1283325,Saudi Arabia,Radiological-Equipment Specialist,43995,Hunting,Alfa Romeo
175,Chan,Jerry,M,1.79,48.4,756826843,United States of America,Radio Mechanic,24642,Playing Music,Geely
176,Atkinson,Angela,F,1.45,42.3,726555945,Australia,Philologist,20624,Eating Out,Citroen
177,Haley,Bruce,M,1.52,48.4,J2062417,Denmark,Dispatcher Clerk,34632,Traveling,-
178,Rodgers,Jesse,M,1.84,50.7,Q6232599,South Korea,"Salesperson, Wigs",19034,Skiing,-
179,Cortez,Louis,M,1.87,70.3,Q6126207,France,Winding-Machine Operator,37998,Writing,Honda
180,Rivers,Ralph,M,1.78,48.4,328147721,Mexico,Bone-Char Kiln Operator,42738,Entertaining,Rolls Royce
181,Buckner,John,M,1.73,75.8,861622894,Austria,Manual-Arts Therapist,17624,Dancing,-
182,Gilbert,Michelle,F,1.53,43.5,M9682628,Finland,Quiller Operator,114210,Shopping,Ferrari
183,Pope,Sarah,F,1.51,52.3,B9312505,Finland,Tire Recapper,32104,Motorcycling,Dodge
184,Wolf,Doris,F,1.68,42.3,223931906,Slovenia,"Supervisor, Vine-Fruit Farming",8100,Sleeping,-
185,Dominguez,Harold,M,1.66,48.4,D6920842,South Korea,Electric Motor Repairing Supervisor,88310,Crafts,-
186,Harper,Abigail,F,1.61,46,D4316387,Canada,Barrel Repairer,9342,Relaxing,-
187,Dean,Scott,M,1.83,65.6,210216212,Greece,"Lawyer, Admiralty",68978,Gardening,-
188,Mcpherson,Jennifer,F,1.74,43.1,U9144084,Spain,Sealing-And-Canceling-Machine Operator,16246,Horseback Riding,-
189,Hull,Jack,M,1.76,71.1,T9675705,Hungary,"Supervisor, Real-Estate Office",37789,Writing,General Motors
190,Stark,Lauren,F,1.39,42.3,U5906301,Ireland,"Sales Representative, Audiovisual Program Productions",28067,Boating,-
191,Sweet,Jean,F,1.39,50.1,Y6733984,Portugal,Fish Smoker,151491,Animal Care,Ford
192,Blanchard,Noah,M,1.69,50,M7565988,Luxembourg,Pulp-Press Tender,16498,Reading,-
193,Prince,Philip,M,1.86,81.9,256419962,Romania,Show-Horse Driver,57046,Sewing,Cadillac
194,Stafford,Brittany,F,1.39,46.6,R4940336,Spain,Proof-Technician Helper,11506,Playing Cards,-
195,Norton,Eugene,M,1.62,73.1,U2068942,Denmark,Cantor,75628,Socializing,Maserati
196,Navarro,Nicholas,M,1.94,48.4,D8356010,Argentina,Phonograph-Cartridge Assembler,127303,Family Time,-
197,Huber,Walter,M,1.53,58.9,M3068598,Romania,"Knife Setter, Grinder Machine",12454,Running,-
198,Woodard,Larry,M,1.67,48.4,R7808004,Sweden,Sweatband Separator,11359,Crafts,-
199,Villarreal,Kathleen,F,1.39,54.2,E0322512,Croatia,Mat Packer,62520,Walking,Honda
200,Bell,Laura,F,1.7,44.7,T1683311,Belgium,"Drawer-In, Stitch-Bonding Machine",20045,Painting,Mini
201,Maldonado,Douglas,M,1.79,56.5,299786636,United Kingdom,"Supervisor, Sugar Refinery",11246,Going to Movies,-
202,Hoover,Henry,M,1.86,61.1,P7597195,Slovenia,"Model Maker, Fiberglass",26213,Dancing,Porsche
203,Henry,Gary,M,1.79,49.4,M5616923,Ireland,Gas-Engine Operator,143723,Watching TV,BMW
204,Hampton,Gary,M,1.82,49.1,J0885912,Latvia,"Supervisor, Shuttle Veneering",10339,Team Sports,-
205,Blanchard,Kimberly,F,1.79,42.3,U4218422,Egypt,"Packer, Insulation",7992,Swimming,-
206,Talley,Dylan,M,1.7,59.5,X7182340,Lithuania,"Manager, Utility Sales And Service",109446,Family Time,-
207,Bush,Dylan,M,1.6,48.4,742990658,Italy,Feed Mixer,98486,Computer Games,Honda
208,Acosta,Olivia,F,1.58,50.4,788974565,China,Slip-Cover Sewer,33866,Listening to Music,-
209,Sykes,Donna,F,1.79,47.4,539361095,Sweden,Health-Equipment Servicer,50344,Theater,Peugeot
210,Mcguire,Cynthia,F,1.39,46,Z1691961,Sweden,Senior Reservations Agent,18694,Playing Music,-
211,Hale,Kathleen,F,1.7,53.9,M3958266,Czechia,Valve Grinder,10005,Watching TV,-
212,Solis,Randy,M,1.75,84.1,379742393,Sweden,Operations Professional,47690,Walking,Kia
213,Stone,Gabriel,M,1.84,68,W2215263,Japan,Toll Collector,15255,Gardening,-
214,Frederick,Sara,F,1.68,49.2,783608788,South Korea,Community Volunteer Jobs,48997,Dancing,BMW
215,Randall,Wayne,M,1.91,48.4,C4807745,Turkey,"Mixer, Chili Powder",148736,Hunting,Hyundai
216,Good,Joe,M,1.61,51.5,A5184488,Romania,Vamp Creaser,22421,Beach,Mini
217,Larson,Nicole,F,1.6,42.3,M8534617,Vietnam,Blocker Ii,30313,Crafts,Renault
218,Steele,Julie,F,1.63,52.6,090948399,Spain,Sewer-Line Repairer,60803,Tennis,-
219,Atkins,Rose,F,1.66,61.7,P5633439,Croatia,Botanist,21848,Fishing,Audi
220,Coleman,Sara,F,1.75,53.3,Z1438779,Malta,Power-Barker Operator,10658,Running,-
221,Hudson,Ryan,M,1.79,68.8,Z0152078,Singapore,Tapper Supervisor,60023,Painting,Fiat
222,Yates,Jack,M,1.58,48.4,460808740,Latvia,"Farmer, Fruit Crops, Bush And Vine",45258,Golf,Jaguar
223,Shaw,Nancy,F,1.72,45,H2860864,Italy,Election Clerk,17305,Fishing,-
224,Pollard,Kimberly,F,1.44,45.2,836757421,Ireland,"Executive Producer, Promos",19508,Beach,-
225,Baker,Alice,F,1.73,42.3,014692733,Spain,Special Effects Specialist,67862,Family Time,-
226,Mccoy,Nancy,F,1.48,42.3,568739994,Austria,"Inspector, Crystal",37170,Theater,Citroen
227,Skinner,Megan,F,1.75,44.5,R8548929,Italy,Case-Making-Machine Operator,20173,Hiking,Mercedes-Benz
228,Mcdonald,Hannah,F,1.62,47,H3161541,Vietnam,Cleat Feeder,28909,Eating Out,-
229,Rodriquez,Grace,F,1.82,55.6,E8629397,Romania,Heading-Machine Operator,72493,Computer Games,-
230,Rivera,Angela,F,1.51,64.5,S6854477,Canada,Spring Fitter,27694,Socializing,-
231,Shepard,Gerald,M,1.74,62.9,M3746875,Belgium,"Supervisor, Instant Potato Processing",32034,Horseback Riding,-
232,Gilmore,Frank,M,1.93,77.5,685750062,Spain,Cover Stripper,22224,Golf,-
233,Cantrell,Elizabeth,F,1.49,43.8,397314476,China,Grizzly Worker,11313,Hunting,-
234,Crosby,Timothy,M,1.89,73.6,W1816593,Finland,C.O.D. Clerk,43801,Housework,-
235,Downs,Maria,F,1.39,47.2,027908580,Netherlands,"Supervisor, Fitting",30566,Fishing,-
236,Donaldson,Christina,F,1.61,52.4,J2372480,Japan,Tip-Out Worker,62794,Housework,Mini
237,Sullivan,Walter,M,1.74,62.7,330531691,Slovakia,Hook Tender,10317,Bowling,-
238,Montoya,Brian,M,1.85,67.9,E7583240,Turkey,"Heel Sprayer, Machine",57329,Sleeping,Lexus
239,Castaneda,Ralph,M,1.72,53.5,H7809013,Greece,Vacuum-Pan Operator Iii,8822,Billiards,-
240,Fletcher,Jordan,M,1.94,79.7,801285837,Egypt,"Executive Producer, Promos",76604,Motorcycling,-
241,Chandler,Gerald,M,1.9,59.9,028067659,Singapore,Put-In-Beat Adjuster,34164,Hunting,-
242,Marshall,Laura,F,1.39,49.1,672713407,United Kingdom,Nitroglycerin Supervisor,26144,Painting,Acura
243,Griffin,Deborah,F,1.55,45.8,100375460,Poland,Crystallographer,12152,Swimming,-
244,Monroe,Randy,M,1.8,59.8,T5354664,Cyprus,Print-Line Operator,16891,Cooking,-
245,Butler,Roger,M,1.94,72.9,269565847,Cyprus,Circus Laborer,14274,Playing Music,-
246,Gordon,Shirley,F,1.56,42.4,Q6321202,France,"Grinder Operator, Tool",7091,Crafts,-
247,Hicks,Keith,M,1.59,64.8,718168342,Japan,Cruise Ship Attendant,27150,Painting,Subaru
248,Sanchez,Samantha,F,1.56,42.3,085080120,Vietnam,"Repairer, Art Objects",14205,Bicycling,-
249,Mcpherson,Sharon,F,1.64,54.8,327183380,Lithuania,"Exerciser, Horse",18569,Hunting,-
250,Mccarty,Billy,M,1.77,80.6,422628672,India,Cover Inspector,26640,Writing,Chrysler
251,Saunders,Beverly,F,1.5,42.3,X1566556,South Africa,Veneer-Taping-Machine Offbearer,68214,Watching TV,Audi
252,Ayala,Kyle,M,1.52,48.4,438107374,Spain,Inner-Tube Inserter,27499,Horseback Riding,-
253,Hahn,Nicholas,M,1.76,58.5,H1969783,Denmark,"Supervisor, Plastering",56425,Relaxing,Chevrolet
254,Stevenson,Andrea,F,1.39,54.3,544956944,Romania,Parking Lot Signaler,41840,Dancing,-
255,Curry,Carl,M,1.52,57.3,E0694930,Italy,"Supervisor, Slate Splitting",12435,Beach,-
256,Pollard,Larry,M,1.82,59,G5510780,Saudi Arabia,Ventilation Equipment Tender,35785,Going to Movies,Suzuki
257,York,Gregory,M,1.94,66.2,216842078,France,Slicing-Machine Operator,97176,Theater,Porsche
